shutter_time,counts
0.0017702,28
0.00178133,19
0.00179247,22
0.0018036,30
0.00181473,28
0.00182587,34
0.001837,20
0.00184813,27
0.00185927,23
0.0018704,23
0.00188153,38
0.00189267,30
0.0019038,41
0.00191493,23
0.00192607,38
0.0019372,44
0.00194833,27
0.00195947,31
0.0019706,40
0.00198173,40
0.00199287,44
0.002004,36
0.00201513,39
0.00202627,40
0.0020374,45
0.00204853,49
0.00205967,40
0.0020708,39
0.00208193,62
0.00209307,47
0.0021042,60
0.00211533,62
0.00212647,62
0.0021376,67
0.00214873,59
0.00215987,56
0.002171,75
0.00218213,62
0.00219327,78
0.0022044,74
0.00221553,70
0.00222667,79
0.0022378,75
0.00224893,82
0.00226007,81
0.0022712,96
0.00228233,97
0.00229347,70
0.0023046,78
0.00231573,100
0.00232687,93
0.002338,80
0.00234913,98
0.00236027,91
0.0023714,78
0.00238253,99
0.00239367,78
0.0024048,111
0.00241593,120
0.00242707,100
0.0024382,119
0.00244933,120
0.00246047,137
0.0024716,126
0.00248273,104
0.00249387,138
0.002505,115
0.00251613,120
0.00252727,159
0.0025384,132
0.00254953,127
0.00256067,161
0.0025718,143
0.00258293,186
0.00259407,150
0.0026052,157
0.00261633,168
0.00262747,174
0.0026386,147
0.00264973,163
0.00266087,177
0.002672,186
0.00268313,223
0.00269427,191
0.0027054,206
0.00271653,195
0.00272767,188
0.0027388,193
0.00274993,189
0.00276107,202
0.0027722,235
0.00278333,209
0.00279447,195
0.0028056,196
0.00281673,217
0.00282787,210
0.002839,219
0.00285013,238
0.00286127,233
0.0028724,260
0.00288353,221
0.00289467,204
0.0029058,222
0.00291693,238
0.00292807,250
0.0029392,270
0.00295033,244
0.00296147,246
0.0029726,273
0.00298373,271
0.00299487,289
0.003006,252
0.00301713,272
0.00302827,268
0.0030394,292
0.00305053,292
0.00306167,302
0.0030728,245
0.00308393,309
0.00309507,279
0.0031062,291
0.00311733,290
0.00312847,303
0.0031396,295
0.00315073,326
0.00316187,283
0.003173,349
0.00318413,336
0.00319527,316
0.0032064,305
0.00321753,327
0.00322867,301
0.0032398,344
0.00325093,293
0.00326207,359
0.0032732,321
0.00328433,348
0.00329547,333
0.0033066,334
0.00331773,367
0.00332887,363
0.00334,327
0.00335113,353
0.00336227,377
0.0033734,359
0.00338453,380
0.00339567,366
0.0034068,401
0.00341793,372
0.00342907,401
0.0034402,374
0.00345133,387
0.00346247,420
0.0034736,419
0.00348473,372
0.00349587,364
0.003507,415
0.00351813,399
0.00352927,405
0.0035404,413
0.00355153,398
0.00356267,422
0.0035738,401
0.00358493,400
0.00359607,437
0.0036072,440
0.00361833,427
0.00362947,483
0.0036406,444
0.00365173,434
0.00366287,396
0.003674,422
0.00368513,407
0.00369627,439
0.0037074,465
0.00371853,443
0.00372967,452
0.0037408,443
0.00375193,410
0.00376307,433
0.0037742,461
0.00378533,437
0.00379647,435
0.0038076,414
0.00381873,432
0.00382987,469
0.003841,449
0.00385213,473
0.00386327,454
0.0038744,419
0.00388553,470
0.00389667,463
0.0039078,433
0.00391893,466
0.00393007,434
0.0039412,471
0.00395233,429
0.00396347,442
0.0039746,466
0.00398573,454
0.00399687,455
0.004008,421
0.00401913,432
0.00403027,492
0.0040414,416
0.00405253,402
0.00406367,436
0.0040748,460
0.00408593,430
0.00409707,444
0.0041082,440
0.00411933,436
0.00413047,443
0.0041416,482
0.00415273,415
0.00416387,458
0.004175,386
0.00418613,491
0.00419727,467
0.0042084,474
0.00421953,458
0.00423067,513
0.0042418,488
0.00425293,489
0.00426407,491
0.0042752,451
0.00428633,493
0.00429747,496
0.0043086,496
0.00431973,436
0.00433087,468
0.004342,529
0.00435313,459
0.00436427,479
0.0043754,480
0.00438653,497
0.00439767,526
0.0044088,513
0.00441993,509
0.00443107,478
0.0044422,511
0.00445333,513
0.00446447,512
0.0044756,559
0.00448673,461
0.00449787,494
0.004509,497
0.00452013,483
0.00453127,552
0.0045424,494
0.00455353,522
0.00456467,528
0.0045758,445
0.00458693,451
0.00459807,473
0.0046092,503
0.00462033,476
0.00463147,472
0.0046426,457
0.00465373,466
0.00466487,488
0.004676,444
0.00468713,460
0.00469827,474
0.0047094,467
0.00472053,429
0.00473167,491
0.0047428,485
0.00475393,441
0.00476507,427
0.0047762,487
0.00478733,428
0.00479847,481
0.0048096,464
0.00482073,437
0.00483187,426
0.004843,463
0.00485413,432
0.00486527,413
0.0048764,440
0.00488753,431
0.00489867,432
0.0049098,454
0.00492093,462
0.00493207,444
0.0049432,421
0.00495433,456
0.00496547,428
0.0049766,415
0.00498773,412
0.00499887,424
0.00501,387
0.00502113,414
0.00503227,416
0.0050434,426
0.00505453,376
0.00506567,399
0.0050768,407
0.00508793,431
0.00509907,400
0.0051102,438
0.00512133,421
0.00513247,357
0.0051436,377
0.00515473,416
0.00516587,411
0.005177,440
0.00518813,392
0.00519927,416
0.0052104,393
0.00522153,376
0.00523267,377
0.0052438,325
0.00525493,414
0.00526607,390
0.0052772,345
0.00528833,354
0.00529947,418
0.0053106,387
0.00532173,380
0.00533287,366
0.005344,383
0.00535513,354
0.00536627,361
0.0053774,393
0.00538853,303
0.00539967,375
0.0054108,336
0.00542193,337
0.00543307,346
0.0054442,353
0.00545533,327
0.00546647,377
0.0054776,350
0.00548873,335
0.00549987,322
0.005511,305
0.00552213,373
0.00553327,359
0.0055444,344
0.00555553,300
0.00556667,339
0.0055778,327
0.00558893,338
0.00560007,332
0.0056112,342
0.00562233,322
0.00563347,353
0.0056446,317
0.00565573,334
0.00566687,313
0.005678,370
0.00568913,311
0.00570027,312
0.0057114,313
0.00572253,329
0.00573367,323
0.0057448,297
0.00575593,312
0.00576707,291
0.0057782,329
0.00578933,298
0.00580047,273
0.0058116,273
0.00582273,320
0.00583387,297
0.005845,286
0.00585613,283
0.00586727,291
0.0058784,294
0.00588953,332
0.00590067,304
0.0059118,288
0.00592293,296
0.00593407,268
0.0059452,268
0.00595633,285
0.00596747,295
0.0059786,290
