TOF(ms)	Counts
7.449461	121
7.459467	108
7.469473	128
7.479479	134
7.489485	126
7.499491	129
7.509497	116
7.519503	129
7.529509	127
7.539515	133
7.549521	112
7.559527	111
7.569533	128
7.579539	135
7.589545	133
7.599551	133
7.609557	135
7.619563	135
7.629569	119
7.639575	122
7.649581	147
7.659587	120
7.669593	129
7.679599	105
7.689605	125
7.699611	134
7.709617	135
7.719623	124
7.729629	124
7.739635	148
7.749641	159
7.759646	121
7.769652	131
7.779658	112
7.789664	151
7.799670	150
7.809676	120
7.819682	146
7.829688	143
7.839694	122
7.849700	121
7.859706	134
7.869712	142
7.879718	143
7.889724	129
7.899730	120
7.909736	150
7.919742	156
7.929748	115
7.939754	131
7.949760	127
7.959766	159
7.969772	147
7.979778	108
7.989784	113
7.999790	118
8.009796	110
8.019802	122
8.029808	142
8.039814	134
8.049820	121
8.059826	121
8.069832	150
8.079838	128
8.089844	90
8.099850	118
8.109856	137
8.119862	134
8.129868	151
8.139874	165
8.149880	116
8.159886	125
8.169892	141
8.179898	114
8.189904	127
8.199910	144
8.209916	170
8.219922	139
8.229928	116
8.239934	136
8.249940	131
8.259946	94
8.269952	142
8.279958	112
8.289964	131
8.299970	134
8.309976	158
8.319982	150
8.329988	123
8.339994	169
8.350000	147
8.360006	122
8.370012	125
8.380018	138
8.390024	125
8.400030	120
8.410036	130
8.420042	138
8.430048	138
8.440054	153
8.450060	149
8.460066	138
8.470072	129
8.480078	123
8.490084	105
8.500090	110
8.510096	140
8.520102	126
8.530108	112
8.540114	133
8.550120	140
8.560126	123
8.570132	147
8.580138	138
8.590144	143
8.600150	117
8.610156	131
8.620162	122
8.630168	142
8.640174	126
8.650180	142
8.660186	158
8.670192	120
8.680198	114
8.690204	123
8.700210	117
8.710216	122
8.720222	162
8.730228	133
8.740234	122
8.750240	124
8.760246	150
8.770252	116
8.780258	124
8.790264	134
8.800270	112
8.810276	102
8.820282	133
8.830288	117
8.840294	114
8.850300	156
8.860306	139
8.870312	143
8.880318	138
8.890324	128
8.900330	141
8.910336	154
8.920342	137
8.930348	129
8.940354	119
8.950359	151
8.960365	110
8.970371	97
8.980377	119
8.990383	127
9.000389	154
9.010395	138
9.020401	108
9.030407	129
9.040413	152
9.050419	117
9.060425	153
9.070431	130
9.080437	143
9.090443	115
9.100449	149
9.110455	143
9.120461	161
9.130467	122
9.140473	129
9.150479	151
9.160485	139
9.170491	114
9.180497	122
9.190503	135
9.200509	146
9.210515	111
9.220521	145
9.230527	121
9.240533	161
9.250539	128
9.260545	125
9.270551	136
9.280557	139
9.290563	129
9.300569	125
9.310575	97
9.320581	125
9.330587	131
9.340593	127
9.350599	118
9.360605	120
9.370611	110
9.380617	130
9.390623	133
9.400629	152
9.410635	126
9.420641	140
9.430647	113
9.440653	136
9.450659	128
9.460665	117
9.470671	135
9.480677	151
9.490683	123
9.500689	121
9.510695	134
9.520701	145
9.530707	121
9.540713	162
9.550719	132
9.560725	130
9.570731	134
9.580737	136
9.590743	117
9.600749	127
9.610755	123
9.620761	151
9.630767	139
9.640773	131
9.650779	139
9.660785	144
9.670791	155
9.680797	118
9.690803	142
9.700809	132
9.710815	146
9.720821	137
9.730827	135
9.740833	123
9.750839	105
9.760845	125
9.770851	127
9.780857	114
9.790863	133
9.800869	135
9.810875	126
9.820881	124
9.830887	138
9.840893	123
9.850899	141
9.860905	117
9.870911	140
9.880917	138
9.890923	108
9.900929	137
9.910935	141
9.920941	120
9.930947	109
9.940953	99
9.950959	135
9.960965	123
9.970971	121
9.980977	113
9.990983	134
10.000989	133
10.010995	155
10.021001	110
10.031007	145
10.041013	136
10.051019	115
10.061025	143
10.071031	136
10.081037	126
10.091043	133
10.101049	121
10.111055	156
10.121061	142
10.131067	140
10.141072	138
10.151078	136
10.161084	123
10.171090	142
10.181096	142
10.191102	116
10.201108	139
10.211114	135
10.221120	130
10.231126	129
10.241132	131
10.251138	132
10.261144	122
10.271150	132
10.281156	126
10.291162	149
10.301168	132
10.311174	105
10.321180	136
10.331186	148
10.341192	126
10.351198	141
10.361204	123
10.371210	138
10.381216	141
10.391222	132
10.401228	110
10.411234	133
10.421240	126
10.431246	150
10.441252	130
10.451258	119
10.461264	143
10.471270	133
10.481276	112
10.491282	119
10.501288	120
10.511294	119
10.521300	126
10.531306	123
10.541312	130
10.551318	146
10.561324	147
10.571330	114
10.581336	127
10.591342	124
10.601348	142
10.611354	126
10.621360	135
10.631366	145
10.641372	103
10.651378	131
10.661384	133
10.671390	89
10.681396	126
10.691402	123
10.701408	107
10.711414	139
10.721420	110
10.731426	117
10.741432	127
10.751438	107
10.761444	121
10.771450	125
10.781456	138
10.791462	121
10.801468	144
10.811474	121
10.821480	137
10.831486	150
10.841492	150
10.851498	117
10.861504	138
10.871510	128
10.881516	163
10.891522	152
10.901528	129
10.911534	136
10.921540	133
10.931546	138
10.941552	121
10.951558	143
10.961564	93
10.971570	106
10.981576	130
10.991582	169
11.001588	111
11.011594	167
11.021600	126
11.031606	140
11.041612	131
11.051618	144
11.061624	113
11.071630	116
11.081636	120
11.091642	120
11.101648	125
11.111654	105
11.121660	131
11.131666	112
11.141672	124
11.151678	140
11.161684	123
11.171690	141
11.181696	144
11.191702	146
11.201708	110
11.211714	153
11.221720	120
11.231726	144
11.241732	152
11.251738	138
11.261744	135
11.271750	123
11.281756	125
11.291762	141
11.301768	125
11.311774	135
11.321780	133
11.331786	134
11.341791	109
11.351797	128
11.361803	125
11.371809	109
11.381815	141
11.391821	142
11.401827	152
11.411833	106
11.421839	130
11.431845	109
11.441851	111
11.451857	120
11.461863	106
11.471869	151
11.481875	144
11.491881	139
11.501887	125
11.511893	124
11.521899	147
11.531905	137
11.541911	112
11.551917	130
11.561923	132
11.571929	144
11.581935	126
11.591941	104
11.601947	134
11.611953	115
11.621959	136
11.631965	126
11.641971	139
11.651977	117
11.661983	135
11.671989	122
11.681995	167
11.692001	137
11.702007	137
11.712013	111
11.722019	136
11.732025	145
11.742031	159
11.752037	141
11.762043	111
11.772049	113
11.782055	135
11.792061	161
11.802067	144
11.812073	132
11.822079	151
11.832085	125
11.842091	120
11.852097	144
11.862103	146
11.872109	119
11.882115	129
11.892121	149
11.902127	160
11.912133	150
11.922139	125
11.932145	134
11.942151	115
11.952157	145
11.962163	125
11.972169	143
11.982175	129
11.992181	100
12.002187	105
12.012193	138
12.022199	121
12.032205	115
12.042211	121
12.052217	116
12.062223	158
12.072229	123
12.082235	139
12.092241	139
12.102247	137
12.112253	106
12.122259	153
12.132265	101
12.142271	119
12.152277	105
12.162283	133
12.172289	131
12.182295	132
12.192301	136
12.202307	122
12.212313	146
12.222319	162
12.232325	132
12.242331	137
12.252337	152
12.262343	149
12.272349	134
12.282355	135
12.292361	149
12.302367	130
12.312373	134
12.322379	143
12.332385	128
12.342391	134
12.352397	134
12.362403	99
12.372409	151
12.382415	120
12.392421	115
12.402427	112
12.412433	135
12.422439	120
12.432445	165
12.442451	129
12.452457	122
12.462463	121
12.472469	127
12.482475	118
12.492481	116
12.502487	132
12.512493	137
12.522499	142
12.532504	156
12.542510	102
12.552516	107
12.562522	128
12.572528	122
12.582534	141
12.592540	137
12.602546	136
12.612552	141
12.622558	125
12.632564	150
12.642570	145
12.652576	134
12.662582	104
12.672588	135
12.682594	122
12.692600	149
12.702606	147
12.712612	125
12.722618	139
12.732624	132
12.742630	142
12.752636	146
12.762642	113
12.772648	140
12.782654	142
12.792660	109
12.802666	153
12.812672	140
12.822678	140
12.832684	134
12.842690	121
12.852696	137
12.862702	102
12.872708	135
12.882714	132
12.892720	123
12.902726	104
12.912732	121
12.922738	141
12.932744	142
12.942750	138
12.952756	139
12.962762	135
12.972768	132
12.982774	141
12.992780	138
13.002786	134
13.012792	113
13.022798	125
13.032804	129
13.042810	134
13.052816	152
13.062822	131
13.072828	129
13.082834	139
13.092840	139
13.102846	147
13.112852	150
13.122858	120
13.132864	127
13.142870	111
13.152876	127
13.162882	147
13.172888	118
13.182894	140
13.192900	108
13.202906	118
13.212912	169
13.222918	136
13.232924	118
13.242930	124
13.252936	112
13.262942	124
13.272948	133
13.282954	130
13.292960	139
13.302966	116
13.312972	152
13.322978	130
13.332984	126
13.342990	124
13.352996	177
13.363002	168
13.373008	116
13.383014	114
13.393020	135
13.403026	112
13.413032	154
13.423038	111
13.433044	117
13.443050	106
13.453056	142
13.463062	156
13.473068	137
13.483074	116
13.493080	118
13.503086	131
13.513092	147
13.523098	113
13.533104	130
13.543110	134
13.553116	135
13.563122	142
13.573128	120
13.583134	114
13.593140	130
13.603146	139
13.613152	135
13.623158	134
13.633164	131
13.643170	153
13.653176	153
13.663182	113
13.673188	149
13.683194	115
13.693200	149
13.703206	137
13.713212	125
13.723217	136
13.733223	151
13.743229	135
13.753235	107
13.763241	133
13.773247	132
13.783253	124
13.793259	116
13.803265	135
13.813271	142
13.823277	128
13.833283	124
13.843289	146
13.853295	125
13.863301	142
13.873307	137
13.883313	127
13.893319	113
13.903325	121
13.913331	136
13.923337	146
13.933343	138
13.943349	132
13.953355	101
13.963361	134
13.973367	143
13.983373	123
13.993379	123
14.003385	117
14.013391	114
14.023397	94
14.033403	135
14.043409	118
14.053415	137
14.063421	143
14.073427	129
14.083433	123
14.093439	146
14.103445	130
14.113451	138
14.123457	141
14.133463	130
14.143469	155
14.153475	127
14.163481	143
14.173487	152
14.183493	137
14.193499	144
14.203505	140
14.213511	129
14.223517	121
14.233523	119
14.243529	115
14.253535	132
14.263541	163
